"severity","category","code","id","subject","unit","concept","difficulty","field","message","reasons","excerpt","evidence"
"P3","quality","complex_problem_low_math_explanation","q-2017-kwangwoon-02","미분학","극한과 연속","극한 함수의 교점 범위","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=10"",""explanationMathDensity=0""]","다음 두 함수 $f(x),g(x)$에 대해 $f(x)=g(x)$인 $x$가 포함된 범위는? $$f(x)=\displaystyle\lim_{n\to\infty}\!\left(1-\dfrac{3x^{2n}}{3+x^{2n+1}}\right),\quad g(x)=\lim_{n\to\infty}\dfrac{1}{1+n\sin^2\pi x}$$","$f$ 극한: $|x|>1$이면 $1-3/x$, $|x|<1$이면 $1$. $g$: $\sin\pi x=0$ ($x$ 정수)이면 $1$, 아니면 $0$. $f=g$ 만족하는 $x$: $x=0$ ($f=1=g$). $0\le x<2$ 범위에 포함."
"P3","quality","complex_problem_low_math_explanation","q-2019-ewha-10","미분학","접선의 방정식","직선과 접선의 각","mediumHard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=12"",""explanationMathDensity=0""]","그래프 $y=x^2$의 $x=1/2$에서의 접선을 $m$이라 하자. 직선 $y=\dfrac{3}{2}x-\dfrac{1}{2}$과 직선 $l$은 직선 $m$과 같은 각을 이룬다. 직선 $l$의 방정식을 구하시오.","$m: y=x-1/4$(점 $(1/2,1/4)$). 주어진 직선을 $m$에 대해 대칭이동: $y=3x/2-1/2$ → 평행이동 후 $y=x$에 대칭이동 적용 → $y=2x/3+1/6$. 다시 평행이동: $y=2x/3-1/12$."
"P3","quality","complex_problem_low_math_explanation","q-2019-kookmin-08","미분학","극한과 연속","연속함수 명제 판별","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=10"",""explanationMathDensity=0""]","연속함수에 대한 다음 설명 중 옳은 것을 모두 고르면? ㄱ. 함수 $f(x)=\dfrac{\ln x+e^x}{x^2-1}$는 구간 $(-\infty,-1)$과 $(1,\infty)$에서 연속이다. ㄴ. 방정식 $4x^3-6x^2+3x-2=0$의 해는 $1$과 $2$ 사이에 존재한다. ㄷ. 함수 $f(x)=\ln(1+\cos x)$는 $x=(2n-1)\pi$에서 불연속이다. 단, $n$은 정수. ㄹ. 합성함수 $g\circ f$...","ㄱ. 거짓: $\ln x$는 $x>0$, $(-\infty,-1)$에서 $f$ 정의 X. ㄴ. 참: 중간값 정리 ($f(1)=-1$, $f(2)=12$). ㄷ. 참: $\cos x=-1$ 때 $\ln 0$. ㄹ. 거짓: 명제의 역."
"P3","quality","complex_problem_low_math_explanation","q-2019-soongsil-11","적분학","정적분의 계산","변수상한 적분 명제","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=14"",""explanationMathDensity=0""]","구간 $[0,1]$에서 연속인 함수 $f(x)$에 대하여 다음 중 옳은 것을 모두 고른 것은? (가) $F(x)=\!\displaystyle\int_0^x f(t)dt$는 $(0,1)$에서 미분가능. (나) $\!\displaystyle\int_0^1 f(x)dx=0$이면 $f(c)=0$이 되는 $c$가 $[0,1]$에 존재. (다) $[0,1]$의 모든 $x$에 대하여 $\!\displaystyle\int_0^x f(t)dt...","(가) 적분기본정리 ⇒ 참. (나) 적분 평균값 정리 ⇒ 참. (다) 미분하면 $f=0$ ⇒ 참."
"P3","quality","complex_problem_low_math_explanation","q-2019-soongsil-17","적분학","정적분의 계산","이상적분 수렴 판정","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=16"",""explanationMathDensity=0""]","다음 특이적분 중 수렴하는 것은?","(1) $\sim 1/x$ 발산. (2) $\ln\ln x$ 발산. (3) $=-1$ 수렴. (4) $x=1$에서 발산."
"P3","quality","complex_problem_low_math_explanation","q-2020-ewha-21","적분학","급수의 수렴/발산","수렴반경 곱","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=22"",""explanationMathDensity=0""]","다음 세 무한급수의 수렴반경 중 가장 큰 것과 가장 작은 것의 곱을 구하시오. a. $\!\sum_{n=1}^{\infty}\dfrac{n!x^{n+1}}{n^n}$ b. $\!\sum_{n=1}^{\infty}\dfrac{\sqrt n\,x^{2n}}{9^n}$ c. $\!\sum_{n=1}^{\infty}\dfrac{(n!)^2 x^n}{(2n)!}$","a: $R=e$. b: $R=3$ (이차항). c: $R=4$. 최대 $4$, 최소 $e$. 곱 $=4e$."
"P3","quality","complex_problem_low_math_explanation","q-2020-ewha-22","미분학","미분","함숫값·도함수 합","hard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=10"",""explanationMathDensity=0""]","두 번 미분가능한 $f(x)$가 $f'(1)=2f'(2)\ne 0$, $\!\displaystyle\lim_{x\to 1}\dfrac{(f(2x)-1)^2}{(x-1)f(x)-\ln x}=-2$를 만족할 때, $f(1)+f(2)+f'(1)+f'(2)$의 값을 구하시오.","분모 $0\to 0$이려면 $f(2)=1$. 로피탈 후 분자/분모 모두 $0$이 되도록 $f(1)=1$. 다시 로피탈 → $f'(1)=-1$, $f'(2)=-1/2$. 합 $=1+1-1-1/2=1/2$."
"P3","quality","complex_problem_low_math_explanation","q-2020-inha-11","선형대수","벡터와 공간도형","평면과 직선의 교점","easyMedium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=11"",""explanationMathDensity=0""]","세 점 $(-1,1,2),\ (0,3,5),\ (-3,-1,-1)$을 지나는 평면과 원점을 지나는 직선이 수직으로 만날 때, 교점은?","법선벡터 $(1,2,3)\times(-2,-2,-3)=(0,-3,2)$. 평면 $-3y+2z=-1$. 원점 지나는 직선 방향이 평면 법선과 같으므로 $(0,-3t,2t)$. 평면 대입: $13t=-1$, $t=-1/13$. 답: 4."
"P3","quality","complex_problem_low_math_explanation","q-2020-kookmin-19","다변수함수","곡선과 곡면","공간곡선 성질 명제","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=9"",""explanationMathDensity=0""]","공간상의 곡선에 대한 다음 설명 중 옳은 것의 개수는? ㄱ. $r(t)=ti+aj+(a^2-t^2)k$는 $t=a$에서 연속이다.(단, $a$는 상수) ㄴ. $\dfrac{d}{dt}(r(t)\cdot u(t))=r'(t)\cdot u(t)+r(t)\cdot u'(t)$ ㄷ. $\dfrac{d}{dt}\|r(t)\|=\|r'(t)\|$ ㄹ. $r(t)=(e^t\sin t)i+(e^t\cos t)j$일 때, $r(t)$와 $r'...","ㄱ. 참. ㄴ. 참 (곱미분). ㄷ. 거짓: 일반적으로 다름. ㄹ. 참: 직접 계산 $r\cdot r''=0$. 3개."
"P3","quality","complex_problem_low_math_explanation","q-2020-seoultech-18","선형대수","행렬","비제차 연립방정식 해 조건","mediumHard","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=16"",""explanationMathDensity=0""]","연립방정식 $\!\begin{pmatrix}2&6&6&4\\2&6&9&5\\-1&-3&3&0\end{pmatrix}\!\begin{pmatrix}x_1\\x_2\\x_3\\x_4\end{pmatrix}=\!\begin{pmatrix}b_1\\b_2\\b_3\end{pmatrix}$이 모든 $b_1,b_2,b_3$에 대해서 근을 가질 필요충분조건이 $\alpha b_1+\beta b_2+2b_3=0$일 때 $\alpha+\bet...","계수행렬의 열공간 한 원소 $(2,2,-1)$을 조건식에 대입: $2\alpha+2\beta-2=0$ ⇒ $\alpha+\beta=1$."
"P3","quality","complex_problem_low_math_explanation","q-2020-soongsil-06","선형대수","행렬","일대일 선형사상 판정","medium","explanation","Complex math problem has an explanation with little mathematical detail.","[""complexity=11"",""explanationMathDensity=0""]","다음 중 $\mathbb R^3$에서 $T_A\!\begin{pmatrix}x\\y\\z\end{pmatrix}=A\!\begin{pmatrix}x\\y\\z\end{pmatrix}$로 정의되는 선형사상이 일대일 함수가 아닌 행렬 $A$는?","(3) rank $=2$ (행 사이 등차) ⇒ 핵 차원 $=1$ ⇒ 일대일 아님. 나머지는 모두 rank $=3$."
