"severity","category","code","id","subject","unit","concept","difficulty","message","reasons","excerpt","meta"
"P1","dependency","likely_missing_visual","q-2023-ajou-49","공학수학","벡터해석","복합 벡터장 분해","hard","Question wording strongly depends on a figure/graph/table, but no question visual is attached.","[""/(?:아래|위|다음|오른쪽|왼쪽)\\s*(?:그림|그래프|표)/"",""/그림(?:에서|처럼|과\\s*같이|와\\s*같이|에\\s*나타낸|을\\s*보|를\\s*보)/""]","오른쪽 그림처럼 두 개의 반원(반지름 $4$, $2$)과 두 개의 선분으로 이루어진 단일폐곡선 $C_2$가 있다. $C_2$의 방향은 시계 반대 방향이고 원점을 포함한다. 다음 선적분의 값은? $\displaystyle\int_{C_2}\!\dfrac{((x^2-y^2)-y(x^2+y^2)+y(x^2+y^2)^2)\,dx+(2xy+x(x^2+y^2))\,dy}{(x^2+y^2)^2}$","{}"
"P1","dependency","likely_missing_visual","q-2024-mju-25","미분학","미분","관련 변화율(수영장 단면)","mediumHard","Question wording strongly depends on a figure/graph/table, but no question visual is attached.","[""/그림(?:에서|처럼|과\\s*같이|와\\s*같이|에\\s*나타낸|을\\s*보|를\\s*보)/""]","폭이 $10\text m$이고 길이가 $12\text m$인 수영장은 얕은 곳은 깊이가 $1.5\text m$이고 가장 깊은 곳은 깊이가 $3\text m$이다. (그림처럼 단면은 사다리꼴: 길이 방향으로 처음 $3\text m$ 구간은 깊이 $1.5\text m$ 일정, 다음 $6\text m$ 구간은 직선적으로 깊어져 $3\text m$, 마지막 $3\text m$ 구간은 깊이 $3\te...","{}"
"P1","difficulty","difficulty_probably_too_high","q-2020-ewha-10","공학수학","추가내용","이중첨자 수열 합 차","killer","Heuristic estimate is 중 but current is 킬러.","[""unitBase=2""]","$0\le k\le l$을 만족하는 모든 정수쌍 $(k,l)$에 대하여 실수 $a_{l,k}$가 주어졌고: 1) $a_{0,0}=1,\,a_{l,0}=a_{l-1,0}$ 2) $a_{l,k}=a_{l,k-1}+a_{l-1,k}$ ($0<k<l$) 3) $a_{l,l}=a_{l,l-1}$ $a_{6,6}-\!\sum_{k=0}^{5}a_{5,k}$의 값을 구하시오.","{""currentIndex"":5,""predictedIndex"":2,""delta"":-3}"
"P1","difficulty","difficulty_probably_too_high","q-2020-ewha-22","미분학","미분","함숫값·도함수 합","killer","Heuristic estimate is 중하 but current is 킬러.","[""unitBase=1""]","두 번 미분가능한 $f(x)$가 $f'(1)=2f'(2)\ne 0$, $\!\displaystyle\lim_{x\to 1}\dfrac{(f(2x)-1)^2}{(x-1)f(x)-\ln x}=-2$를 만족할 때, $f(1)+f(2)+f'(1)+f'(2)$의 값을 구하시오.","{""currentIndex"":5,""predictedIndex"":1,""delta"":-4}"
"P1","difficulty","difficulty_probably_too_high","q-2021-ewha-26","미분학","함수","역삼각 항등식 결정","killer","Heuristic estimate is 중하 but current is 킬러.","[""unitBase=1""]","음이 아닌 모든 실수 $x$에 대하여 $\sin^{-1}\!\left(\dfrac{x-1}{x+1}\right)=a\tan^{-1}(x^b)+c$를 만족시키는 상수 $a,b,c$를 구하고 $2b-ac$의 값을 구하시오.","{""currentIndex"":5,""predictedIndex"":1,""delta"":-4}"
"P1","difficulty","difficulty_probably_too_high","q-2021-ewha-30","적분학","정적분의 계산","조각함수 미분가능 $a$ 개수","killer","Heuristic estimate is 중 but current is 킬러.","[""unitBase=2""]","$f(x)$는 연속이며 $\sin x\!\int_0^x\!f(t)dt-\!\int_0^x\!\sin t\,f(t)dt=\cos^2 x$를 만족. $-4\pi\le a\le 4\pi$인 $a$에 대해 $g(x)=\sin(|x-a|)f(x)$가 미분가능하도록 하는 $a$의 개수를 구하시오.","{""currentIndex"":5,""predictedIndex"":2,""delta"":-3}"
"P1","difficulty","difficulty_probably_too_high","q-2022-ewha-15","미분학","극한과 연속","평등 연속 판별","killer","Heuristic estimate is 중하 but current is 킬러.","[""unitBase=1""]","다음 함수 중 평등 연속인 것을 모두 고르시오. a. $f:[0,\infty)\to\mathbb{R},\,f(x)=e^{-x}$ b. $f:(0,1)\to\mathbb{R},\,f(x)=\sin(1/x)$ c. $f:\mathbb{R}\to\mathbb{R},\,f(x)=e^{\cos x}$ d. $f:\mathbb{R}\to\mathbb{R},\,f(x)=\cos(x^2)$","{""currentIndex"":5,""predictedIndex"":1,""delta"":-4}"
"P1","difficulty","difficulty_probably_too_high","q-2022-ewha-17","미분학","극한과 연속","함수열 수렴 명제","killer","Heuristic estimate is 중 but current is 킬러.","[""unitBase=1"",""multiStatement""]","다음 중 함수 수열 $\{f_n\},\{g_n\}$에 대한 설명 중 옳은 것을 모두 고르시오. a. $f_n$이 $f$로 평등수렴하면 점별수렴한다. b. 각 $f_n$이 연속이고 $f$로 평등수렴하면 $f$도 연속. c. $f_n,g_n$이 각각 $f,g$로 평등수렴하면 $f_n g_n$이 $fg$로 평등수렴. d. $\!\sum f_n,\!\sum g_n$이 각 평등수렴이면 $\!\sum ...","{""currentIndex"":5,""predictedIndex"":2,""delta"":-3}"
"P1","difficulty","difficulty_probably_too_high","q-2022-ewha-25","적분학","정적분의 계산","함수방정식 + 부분적분","killer","Heuristic estimate is 중 but current is 킬러.","[""unitBase=2""]","$f(x)$는 세 번 미분가능, 모든 정수에 대해 $f(n)-f(n-1)=n,\,f'(n)=(n+1)^2$. $\!\int_0^1(1-x)f''(x)dx$의 값을 구하시오.","{""currentIndex"":5,""predictedIndex"":2,""delta"":-3}"
"P1","difficulty","difficulty_probably_too_high","q-2023-ewha-13","미분학","극한과 연속","평등 연속 판별","killer","Heuristic estimate is 중하 but current is 킬러.","[""unitBase=1""]","다음 함수 중 평등 연속인 함수를 모두 고르시오. a. $f:[1,\infty)\to\mathbb{R},\,f(x)=1/x$ b. $f:\mathbb{R}\to\mathbb{R},\,f(x)=e^{\cos x}$ c. $f:\mathbb{R}\to\mathbb{R},\,f(x)=\sin(e^x)$ d. $f:\mathbb{R}\to\mathbb{R},\,f(x)=\cos(e^x)$ e. $f...","{""currentIndex"":5,""predictedIndex"":1,""delta"":-4}"
"P1","difficulty","difficulty_probably_too_high","q-2024-cau-08","미분학","극한과 연속","floor 함수 불연속","hard","Heuristic estimate is 중하 but current is 상.","[""unitBase=1""]","함수 $f(x)=[2\cos x-\cos 2x]$에 대하여 구간 $0<x<3\pi$에서 불연속인 점의 개수는? (단, $[x]$는 $x$보다 크지 않은 최대의 정수이다.)","{""currentIndex"":4,""predictedIndex"":1,""delta"":-3}"
"P1","difficulty","difficulty_probably_too_high","q-2024-ewha-14","미분학","미분","등비합 도함수","killer","Heuristic estimate is 중 but current is 킬러.","[""unitBase=1"",""mathDensity=45""]","$f(x)=\sin x+\dfrac{\sin^2 x}{2}+\dfrac{\sin^3 x}{3}+\cdots+\dfrac{\sin^{2024}x}{2024}$에 대하여 $f'(\pi/4)$의 값을 구하시오.","{""currentIndex"":5,""predictedIndex"":2,""delta"":-3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-07","적분학","정적분의 계산","치환적분","easy","Heuristic estimate is 중상 but current is 하.","[""unitBase=2"",""mathDensity=20""]","$\displaystyle\int_0^1 x\sqrt{1-x}\,dx$의 값은?","{""currentIndex"":0,""predictedIndex"":3,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-17","선형대수","고유치와 대각화","케일리-해밀턴 trace 곱","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/Jordan|조르당|최소다항식|Cayley[-\\s]*Hamilton|케일리/"",""mathDensity=20""]","특성다항식이 $\phi(t)=t^4-4t^3-15t^2-38t-108$인 $4\times 4$ 행렬 $A$와 $A$의 역행렬 $A^{-1}$에 대하여 이들의 대각합의 곱, 즉 $\mathrm{tr}(A)\cdot\mathrm{tr}(A^{-1})$은 얼마인가?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-18","다변수함수","중적분","치환 이중적분","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""highKeyword=/\\\\iiint|\\\\iint|\\\\nabla|curl|div|rot/"",""mathDensity=19""]","영역 $R$은 직선 $y=x,\,x$축, $y=\dfrac{3}{2}(x-1)$로 둘러싸인 삼각형의 경계와 내부라 하자. 이때, $\displaystyle\iint_R e^{\frac{y}{3x-2y}}\,dxdy$의 값은?","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
"P1","difficulty","difficulty_probably_too_low","q-2017-cau-22","적분학","급수의 수렴/발산","수렴 진위 보기","medium","Heuristic estimate is 킬러 but current is 중.","[""unitBase=3"",""multiStatement"",""mathDensity=38""]","다음 <보기> 중 수렴하는 것의 개수는? (가) $\displaystyle\sum_{n=1}^{\infty}\tan^{-1}\!\left(\dfrac{1}{n}\right)$ (나) $\displaystyle\lim_{(x,y)\to(0,0)}\sin\!\left(\dfrac{x^2y^2}{x^4+y^4}\right)$ (다) $\displaystyle\int_1^{\infty}\dfrac{...","{""currentIndex"":2,""predictedIndex"":5,""delta"":3}"
