"severity","code","table","id","field","message","excerpt","meta"
"P2","generated_exam_stale_question_reference","generated_exams","weakness-3fc0ec7e-5d7c-4b2a-abe0-ce865e3718e7-1778478191913","problems","Generated exam has a usable problem snapshot, but its original question ID is not present in questions.","","{""questionId"":""q-import-1778062406488-17-tj4x""}"
"P2","generated_exam_stale_question_reference","generated_exams","weakness-3fc0ec7e-5d7c-4b2a-abe0-ce865e3718e7-1778835955910","problems","Generated exam has a usable problem snapshot, but its original question ID is not present in questions.","","{""questionId"":""q-sample-1778085491269-0""}"
"P2","generated_exam_stale_question_reference","generated_exams","weakness-60131359-d16c-4a23-84d3-e8a731de9261-1778476145917","problems","Generated exam has a usable problem snapshot, but its original question ID is not present in questions.","","{""questionId"":""q-import-1778062406488-17-tj4x""}"
"P3","duplicate_question_text","questions","q-2017-kwangwoon-30","question","Question text duplicates another row after normalization.","타원$\dfrac{x^2}{4}+y^2=1$위의점$(2,0)$에서곡률중심의$x$좌표와$y$좌표의합은?","{""duplicateIds"":[""q-2017-kwangwoon-30"",""q-daily-mv-r4-6""]}"
"P3","duplicate_question_text","questions","q-2017-sogang-01","question","Question text duplicates another row after normalization.","극한$\displaystyle\lim_{x\to\infty}\!\left\{x-x^2\ln\!\left(\dfrac{1+x}{x}\right)\right\}$의값은?","{""duplicateIds"":[""q-2017-sogang-01"",""q-daily-r20-1""]}"
"P3","duplicate_question_text","questions","q-2018-hanyang-12","question","Question text duplicates another row after normalization.","$x=0$에서$f(x)=\dfrac{\cosx}{1+x^2+x^4}$의5차테일러다항식을$p(x)=a_0+a_1x+a_2x^2+a_3x^3+a_4x^4+a_5x^5$이라할때,$a_0+a_1+a_2+a_3+a_4+a_5$의값은?","{""duplicateIds"":[""q-2018-hanyang-12"",""q-daily-r17-4""]}"
"P3","duplicate_question_text","questions","q-2018-kwangwoon-27","question","Question text duplicates another row after normalization.","$f(x)=\secx$일때$f''\!\left(\dfrac{\pi}{4}\right)$의값은?","{""duplicateIds"":[""q-2018-kwangwoon-27"",""q-daily-r12-4""]}"
"P3","duplicate_question_text","questions","q-2018-sogang-07","question","Question text duplicates another row after normalization.","적분$\displaystyle\int_0^1\cos(x^2)\,dx$의값에가장가까운근삿값은?","{""duplicateIds"":[""q-2018-sogang-07"",""q-daily-int-r30-1""]}"
"P3","duplicate_question_text","questions","q-2020-soongsil-23","question","Question text duplicates another row after normalization.","이중적분$\!\displaystyle\int_0^4\!\!\int_{\sqrtx}^2\dfrac{1}{1+y^3}dy\,dx$의값은?","{""duplicateIds"":[""q-2020-soongsil-23"",""q-2024-dgu-20""]}"
"P3","duplicate_question_text","questions","q-2021-sookmyung-11","question","Question text duplicates another row after normalization.","급수$\displaystyle\sum_{n=1}^{\infty}\dfrac{n}{(n+1)!}$의값은?","{""duplicateIds"":[""q-2021-sookmyung-11"",""q-2025-sookmyung-10""]}"
